,first_name,middle_name,last_name,psychometrics_score,presentation_score,date,location,candidate_id_str
0,Hilary,,Willmore,51.0,59.38,2019-08-01,Birmingham,Hilary Willmore 2019-08-01
1,Orly,,Lorens,51.0,59.38,2019-08-01,Birmingham,Orly Lorens 2019-08-01
2,Alvie,,Bleackly,55.0,50.0,2019-08-01,Birmingham,Alvie Bleackly 2019-08-01
3,Deck,,Itzchaki,59.0,65.62,2019-08-01,Birmingham,Deck Itzchaki 2019-08-01
4,Wilt,,Penritt,66.0,78.12,2019-08-01,Birmingham,Wilt Penritt 2019-08-01
5,Gianna,,Clevely,61.0,50.0,2019-08-01,Birmingham,Gianna Clevely 2019-08-01
6,Yvor,,Phalip,59.0,56.25,2019-08-01,Birmingham,Yvor Phalip 2019-08-01
7,Marielle,,Knivett,52.0,56.25,2019-08-01,Birmingham,Marielle Knivett 2019-08-01
8,Florri,,Loughton,63.0,87.5,2019-08-01,Birmingham,Florri Loughton 2019-08-01
9,Walden,,Gidden,49.0,78.12,2019-08-01,Birmingham,Walden Gidden 2019-08-01
10,Ingunna,,Adin,60.0,62.5,2019-08-01,Birmingham,Ingunna Adin 2019-08-01
11,Janaya,,Mawford,52.0,56.25,2019-08-01,Birmingham,Janaya Mawford 2019-08-01
12,Cornall,,Offer,56.0,81.25,2019-08-01,Birmingham,Cornall Offer 2019-08-01
13,Brnaby,,Bownes,59.0,81.25,2019-08-01,Birmingham,Brnaby Bownes 2019-08-01
14,Sherline,,Cudihy,52.0,50.0,2019-08-01,Birmingham,Sherline Cudihy 2019-08-01
15,Anallise,,Scathard,62.0,40.62,2019-08-01,Birmingham,Anallise Scathard 2019-08-01
16,Benson,,Labuschagne,64.0,40.62,2019-08-01,Birmingham,Benson Labuschagne 2019-08-01
17,Norene,,Fierro,58.0,68.75,2019-08-01,Birmingham,Norene Fierro 2019-08-01
18,Woody,,Newling,49.0,65.62,2019-08-01,Birmingham,Woody Newling 2019-08-01
19,Anna,,Bownes,45.0,62.5,2019-08-01,Birmingham,Anna Bownes 2019-08-01
20,Lorine,,Bignall,59.0,53.12,2019-08-01,Birmingham,Lorine Bignall 2019-08-01
21,Deirdre,,Van Den Velde,55.0,59.38,2019-08-01,Birmingham,Deirdre Van Den Velde 2019-08-01
22,Ruthe,,Adolthine,63.0,53.12,2019-08-01,Birmingham,Ruthe Adolthine 2019-08-01
23,Star,,Jurges,54.0,68.75,2019-08-01,Birmingham,Star Jurges 2019-08-01
24,Stan,,Forkan,56.0,62.5,2019-08-01,Birmingham,Stan Forkan 2019-08-01
25,Jodie,,Kaygill,53.0,53.12,2019-08-01,Birmingham,Jodie Kaygill 2019-08-01
26,Tim,,Hush,40.0,68.75,2019-08-01,Birmingham,Tim Hush 2019-08-01
27,Delinda,,Conybear,54.0,56.25,2019-08-01,Birmingham,Delinda Conybear 2019-08-01
28,Reagen,,Pudge,60.0,43.75,2019-08-01,Birmingham,Reagen Pudge 2019-08-01
29,Matteo,,Yeowell,57.0,56.25,2019-08-01,Birmingham,Matteo Yeowell 2019-08-01
30,Maye,,Targetter,45.0,59.38,2019-08-01,Birmingham,Maye Targetter 2019-08-01
31,Carlos,,Gerckens,56.0,59.38,2019-08-01,Birmingham,Carlos Gerckens 2019-08-01
32,Nevil,,Vidyapin,44.0,68.75,2019-08-01,Birmingham,Nevil Vidyapin 2019-08-01
33,Blake,,Nunson,64.0,56.25,2019-08-01,Birmingham,Blake Nunson 2019-08-01
34,Ross,,Beevors,48.0,78.12,2019-08-01,Birmingham,Ross Beevors 2019-08-01
35,Sid,,Libbie,59.0,87.5,2019-08-01,Birmingham,Sid Libbie 2019-08-01
0,Loree,,Hinkens,54.0,50.0,2019-05-01,London,Loree Hinkens 2019-05-01
1,Micheil,,Rotlauf,66.0,46.88,2019-05-01,London,Micheil Rotlauf 2019-05-01
2,Berkeley,,Bothe,43.0,78.12,2019-05-01,London,Berkeley Bothe 2019-05-01
3,Klarika,,Mcconigal,48.0,68.75,2019-05-01,London,Klarika Mcconigal 2019-05-01
4,Retha,,Dunnico,60.0,62.5,2019-05-01,London,Retha Dunnico 2019-05-01
5,Nance,,Tothe,51.0,46.88,2019-05-01,London,Nance Tothe 2019-05-01
6,Donica,,Andreas,59.0,56.25,2019-05-01,London,Donica Andreas 2019-05-01
7,Stavros,,Petticrow,52.0,37.5,2019-05-01,London,Stavros Petticrow 2019-05-01
8,Janet,,Mulqueeny,42.0,59.38,2019-05-01,London,Janet Mulqueeny 2019-05-01
9,Cassius,,Hollibone,69.0,56.25,2019-05-01,London,Cassius Hollibone 2019-05-01
10,Mellicent,,Desaur,67.0,56.25,2019-05-01,London,Mellicent Desaur 2019-05-01
11,Kamila,,Silversmidt,53.0,50.0,2019-05-01,London,Kamila Silversmidt 2019-05-01
12,Bernadine,,Sinkin,60.0,53.12,2019-05-01,London,Bernadine Sinkin 2019-05-01
13,William,,Dryden,63.0,71.88,2019-05-01,London,William Dryden 2019-05-01
14,Matthias,,Burns,53.0,68.75,2019-05-01,London,Matthias Burns 2019-05-01
15,Maxwell,,Wyer,50.0,65.62,2019-05-01,London,Maxwell Wyer 2019-05-01
16,Miguela,,Quantrill,60.0,65.62,2019-05-01,London,Miguela Quantrill 2019-05-01
17,Juliet,,Scottrell,55.0,50.0,2019-05-01,London,Juliet Scottrell 2019-05-01
18,Gannie,,Barehead,46.0,59.38,2019-05-01,London,Gannie Barehead 2019-05-01
19,Siouxie,,Tunstall,57.0,71.88,2019-05-01,London,Siouxie Tunstall 2019-05-01
20,Keenan,,Stubbes,50.0,65.62,2019-05-01,London,Keenan Stubbes 2019-05-01
21,Verney,,Skehan,58.0,46.88,2019-05-01,London,Verney Skehan 2019-05-01
22,Bernice,,Niblett,52.0,50.0,2019-05-01,London,Bernice Niblett 2019-05-01
23,Susie,,Ciccoloi,65.0,65.62,2019-05-01,London,Susie Ciccoloi 2019-05-01
24,Corney,,Kolinsky,50.0,71.88,2019-05-01,London,Corney Kolinsky 2019-05-01
25,Benson,,Syncke,57.0,56.25,2019-05-01,London,Benson Syncke 2019-05-01
26,Halsey,,Broader,67.0,81.25,2019-05-01,London,Halsey Broader 2019-05-01
0,Konstantine,,Giacomoni,48.0,75.0,2019-10-01,London,Konstantine Giacomoni 2019-10-01
1,Carmelle,,Jado,54.0,68.75,2019-10-01,London,Carmelle Jado 2019-10-01
2,Eward,,Stanyard,48.0,62.5,2019-10-01,London,Eward Stanyard 2019-10-01
3,Edgardo,,Lidyard,49.0,75.0,2019-10-01,London,Edgardo Lidyard 2019-10-01
4,Claudia,,May,53.0,56.25,2019-10-01,London,Claudia May 2019-10-01
5,Ginevra,,Kops,52.0,65.62,2019-10-01,London,Ginevra Kops 2019-10-01
6,Lambert,,Fortnon,57.0,68.75,2019-10-01,London,Lambert Fortnon 2019-10-01
7,Far,,Lubeck,52.0,56.25,2019-10-01,London,Far Lubeck 2019-10-01
8,Joann,,Aspinwall,59.0,46.88,2019-10-01,London,Joann Aspinwall 2019-10-01
9,Sallyann,,Jacobi,60.0,46.88,2019-10-01,London,Sallyann Jacobi 2019-10-01
10,Agustin,,Boog,55.0,65.62,2019-10-01,London,Agustin Boog 2019-10-01
11,Fiann,,Parmeter,52.0,71.88,2019-10-01,London,Fiann Parmeter 2019-10-01
12,Linette,,Gilhoolie,55.0,59.38,2019-10-01,London,Linette Gilhoolie 2019-10-01
13,Pearla,,Durtnell,55.0,65.62,2019-10-01,London,Pearla Durtnell 2019-10-01
14,Candie,,Senner,59.0,75.0,2019-10-01,London,Candie Senner 2019-10-01
15,Mychal,,Bachelar,47.0,75.0,2019-10-01,London,Mychal Bachelar 2019-10-01
0,Esme,,Trusslove,39.0,71.88,2019-04-10,London,Esme Trusslove 2019-04-10
