course_interest,First Name,Middle Name,Last Name,financial_support_self,geo_flex,self_development,internal_id,applicant_day_date,pass
Engineering,Aarika,,Preist,True,True,True,0,2019/05/08,False
Data,Abbe,,Ballard,True,True,True,1,2019/02/21,True
Data,Abbe,,Hanny,True,True,True,2,2019/03/26,True
Engineering,Abbie,,Clifton,False,True,True,3,2019/01/22,False
Engineering,Abbott,,Dodgshon,True,True,True,4,2019/07/18,True
Data,Abbott,,Yea,True,True,True,5,2019/07/12,True
Business,Abby,,Pallatina,True,True,True,6,2019/02/07,True
Business,Abdel,,Shovel,True,True,False,7,2019/10/30,False
Engineering,Abel,,Mcvaugh,True,True,True,8,2019/01/03,True
Business,Abelard,,Cardenas,True,True,True,9,2019/07/09,False
Business,Abeu,,Bourcq,False,True,True,10,2019/04/03,False
Engineering,Abeu,,Rimmer,False,True,True,11,2019/01/22,False
Data,Abey,,Lightollers,True,False,True,12,2019/05/16,False
Business,Abigail,,Dunsmore,True,True,True,13,2019/01/16,True
Engineering,Abraham,,Rockell,True,True,True,14,2019/07/02,True
Data,Abram,,Goldster,True,True,True,15,2019/07/04,True
Data,Abram,,Sueter,True,False,True,16,2019/07/26,False
Business,Abran,,Munson,True,True,True,17,2019/02/20,True
Engineering,Abran,,Odams,True,False,False,18,2019/07/12,False
Engineering,Ad,,Do,True,True,True,19,2019/08/21,True
Data,Adah,,Fost,True,True,True,20,2019/07/13,True
Business,Adah,,Silverton,True,True,True,21,2019/09/17,False
Business,Adah,,Spencers,True,True,True,22,2019/04/04,True
Data,Adaline,,Durtnell,False,False,True,23,2019/07/30,False
Data,Adaline,,Warrender,True,True,True,24,2019/11/07,True
Data,Adamo,,Osment,True,True,True,25,2019/05/15,True
Data,Adams,,Lux,True,True,False,26,2019/11/27,False
Data,Adan,,Gremane,True,True,True,27,2019/11/07,True
Business,Adda,,Bromont,True,False,True,28,2019/10/17,False
Data,Adel,,Cranmor,True,True,True,29,2019/10/08,True
Data,Adel,,Kinrade,True,True,True,30,2019/10/10,True
Data,Adela,,Paley,True,True,True,31,2019/07/23,True
Engineering,Adela,,Valance,True,True,True,32,2019/04/30,True
Data,Adelaida,,Pirson,True,True,True,33,2019/07/11,True
Engineering,Adelbert,,Oakwell,True,True,True,34,2019/02/27,True
Business,Adelbert,,Verrick,True,True,True,35,2019/03/27,True
Data,Adeline,,Ordidge,True,False,True,36,2019/07/19,False
Business,Adham,,Petrolli,True,True,True,37,2019/05/15,True
Business,Adiana,,Almey,True,True,True,38,2019/02/28,True
Engineering,Adina,,Seton,True,True,True,39,2019/12/18,False
Engineering,Adlai,,Ferns,True,True,True,40,2019/10/29,True
Business,Adlai,,Gahagan,True,True,True,41,2019/05/29,True
Business,Adler,,Wingatt,True,True,True,42,2019/07/18,True
Business,Adolph,,Andreia,True,True,True,43,2019/02/27,True
Engineering,Adolpho,,Litterick,False,True,True,44,2019/12/10,False
Data,Adria,,Raiker,True,True,True,45,2019/11/20,True
Business,Adria,,Zorro,True,False,True,46,2019/02/12,False
Engineering,Adrianna,,Lyddiard,True,True,True,47,2019/01/29,True
Business,Agace,,O'Shields,True,True,True,48,2019/07/30,True
Engineering,Aggi,,Shilling,True,True,True,49,2019/11/21,False
Data,Aggi,,Willetts,True,True,True,50,2019/02/27,True
Business,Aggie,,Remmers,True,True,True,51,2019/07/30,True
Data,Aggy,,Alessandrucci,True,True,False,52,2019/04/11,False
Engineering,Aggy,,Hefferan,True,True,True,53,2019/04/18,True
Engineering,Agnella,,Dairton,True,True,True,54,2019/09/24,True
Business,Agnesse,,Beeken,True,True,True,55,2019/10/30,True
Business,Agneta,,Fantini,True,True,True,56,2019/01/17,True
Business,Agosto,,Meaddowcroft,True,True,True,57,2019/03/05,True
Business,Agretha,,Deinert,True,True,False,58,2019/01/22,False
Data,Aguie,,Morrad,True,True,True,59,2019/07/27,True
Engineering,Aguie,,Prati,True,False,True,60,2019/07/26,False
Business,Aguste,,Tann,True,True,True,61,2019/07/30,True
Engineering,Agustin,,Boog,True,True,True,62,2019/10/01,True
Data,Agustin,,Craine,True,True,True,63,2019/03/21,True
Data,Aida,,Bothams,True,True,True,64,2019/01/17,True
Engineering,Aidan,,Elrick,False,True,True,65,2019/03/05,False
Data,Aila,,Longo,True,True,True,66,2019/09/03,True
Engineering,Aili,,Bursnoll,True,False,True,67,2019/07/30,False
Business,Aimee,,Pedrazzi,True,True,True,68,2019/11/14,False
Data,Aindrea,,Davio,True,True,True,69,2019/01/31,True
Business,Aindrea,,Normanvill,True,True,True,70,2019/07/18,True
Engineering,Ainslee,,Paice,True,True,True,71,2019/07/18,False
Data,Ainslee,,Spurgin,True,True,True,72,2019/11/20,True
Business,Ainsley,,Gogerty,False,True,True,73,2019/11/27,False
Engineering,Ainslie,,Simeon,True,True,True,74,2019/03/07,True
Engineering,Al,,Hugonet,True,True,True,75,2019/07/04,True
Data,Alain,,Peinton,False,True,True,76,2019/05/15,False
Business,Alair,,Patey,True,True,True,77,2019/11/19,True
Engineering,Alan,,Heald,True,True,True,78,2019/03/28,True
Business,Alanah,,Matfin,True,True,True,79,2019/07/27,True
Business,Alanna,,Frane,True,True,True,80,2019/04/03,False
Business,Alastair,,Filipowicz,True,True,True,81,2019/11/27,True
Business,Alasteir,,Cootes,True,True,True,82,2019/10/02,True
Data,Alayne,,Farrans,True,True,True,83,2019/12/19,True
Business,Alberto,,O Sullivan,False,True,True,84,2019/04/04,False
Data,Albie,,Lyon,True,True,True,85,2019/08/22,True
Business,Albie,,Romanski,True,True,True,86,2019/05/07,True
Business,Albina,,Alves,True,True,True,87,2019/07/02,True
Engineering,Aldo,,Bradnum,True,True,True,88,2019/08/27,True
Engineering,Aldridge,,Du Fray,True,True,True,89,2019/04/30,True
Data,Aldwin,,Ginman,True,True,True,90,2019/09/18,True
Engineering,Aldwin,,Pilgram,True,True,True,91,2019/02/21,True
Business,Aleece,,Addicott,True,True,True,92,2019/03/28,False
Business,Aleen,,Mckeurton,True,True,True,93,2019/09/25,True
Data,Alejandro,,Broggetti,True,True,True,94,2019/09/03,True
Engineering,Alessandra,,Krollmann,True,True,True,95,2019/02/13,True
Data,Alethea,,Rangell,False,True,False,96,2019/12/04,False
Business,Alexander,,Johnstone,True,True,True,97,2019/01/08,True
Engineering,Alexandro,,Guyan,True,True,True,98,2019/01/29,True
Data,Alexine,,Mcglue,True,True,True,99,2019/12/03,True
Business,Alexis,,Adess,True,True,False,100,2019/10/10,False
Data,Alfi,,Janku,True,True,True,101,2019/05/15,True
Engineering,Alfi,,Mccracken,True,True,True,102,2019/05/16,True
Business,Alfons,,Marchington,True,True,True,103,2019/02/14,True
Business,Ali,,Bonds,False,True,True,104,2019/12/03,False
Data,Ali,,Outram,False,True,True,105,2019/04/16,False
Engineering,Ali,,Shegog,True,True,True,106,2019/02/26,True
Business,Alicia,,Hruska,True,True,True,107,2019/08/28,True
Engineering,Alick,,Padkin,True,False,True,108,2019/02/28,False
Business,Alidia,,Govett,True,True,True,109,2019/05/16,True
Business,Alikee,,Sawood,True,True,True,110,2019/07/12,True
Business,Alison,,Tett,True,True,True,111,2019/07/10,True
Data,Alison,,Tranckle,True,True,True,112,2019/05/23,True
Engineering,Alistair,,Scanes,True,True,True,113,2019/07/23,True
Engineering,Alister,,Bru,True,True,True,114,2019/08/07,True
Data,Allegra,,Aspland,False,False,True,115,2019/01/02,False
Data,Allen,,Edelman,True,True,True,116,2019/01/23,True
Business,Allene,,Hand,True,True,True,117,2019/03/13,True
Engineering,Alli,,Ludewig,True,True,True,118,2019/07/16,True
Engineering,Alli,,Sleeford,True,True,False,119,2019/04/17,False
Engineering,Allianora,,Rowdell,True,True,True,120,2019/01/17,True
Business,Allie,,Sheber,True,True,True,121,2019/12/05,True
Engineering,Allina,,Buttfield,True,False,True,122,2019/12/11,False
Engineering,Allina,,Grelka,True,True,True,123,2019/08/28,True
Engineering,Allistir,,Langrick,True,True,True,124,2019/05/30,True
Data,Allx,,Macdearmaid,True,True,True,125,2019/07/25,True
Engineering,Allyce,,Attwill,True,True,True,126,2019/07/25,True
Business,Allyn,,Mccrum,False,True,True,127,2019/02/12,False
Business,Allyn,,Nazair,True,True,True,128,2019/01/29,True
Engineering,Almeda,,Jeppe,True,False,True,129,2019/10/24,False
Business,Almire,,Tewkesberry,True,True,True,130,2019/01/31,True
Data,Almire,,Vautrey,True,False,True,131,2019/03/26,False
Engineering,Aloin,,Ashment,True,True,True,132,2019/02/12,True
Business,Alonso,,Hulkes,True,True,True,133,2019/01/08,True
Data,Alphard,,Marrison,False,True,True,134,2019/02/05,False
Engineering,Althea,,Kopelman,True,True,True,135,2019/03/26,True
Engineering,Aluino,,Sainter,True,True,True,136,2019/02/05,True
Engineering,Alvie,,Bleackly,True,True,True,137,2019/08/01,True
Data,Alwin,,Bullman,True,True,True,138,2019/08/07,True
Data,Alyce,,Hares,True,True,True,139,2019/04/23,True
Data,Alyse,,Thiese,True,False,True,140,2019/11/07,False
Data,Amalea,,Harrell,True,True,True,141,2019/11/27,True
Business,Amalea,,Tysack,False,True,True,142,2019/04/11,False
Business,Amalea,,Ughi,True,True,True,143,2019/07/02,True
Data,Amaleta,,Alred,True,True,True,144,2019/10/02,True
Business,Amalia,,Orris,True,True,True,145,2019/07/06,True
Business,Amalia,,Sheppard,True,True,True,146,2019/12/11,True
Data,Amanda,,Lill,False,True,True,147,2019/09/11,False
Business,Amanda,,Minto,True,True,False,148,2019/07/18,False
Business,Amble,,Dimitru,True,True,True,149,2019/11/07,True
Business,Ambros,,Ethington,True,True,True,150,2019/01/10,False
Business,Ambrosi,,Carnow,True,False,True,151,2019/07/04,False
Business,Ame,,O'Keaveny,True,True,False,152,2019/10/22,False
Business,Amelina,,Posnett,True,True,False,153,2019/03/19,False
Data,Amerigo,,Graysmark,True,True,True,154,2019/04/02,True
Engineering,Amerigo,,Heys,True,True,True,155,2019/07/31,True
Business,Amil,,Coysh,False,False,True,156,2019/12/05,False
Data,Amil,,Lidden,True,True,False,157,2019/07/09,False
Business,Ammamaria,,Tassell,False,True,False,158,2019/10/10,False
Data,Amos,,Debill,True,True,True,159,2019/07/25,True
Data,Amos,,Vasnev,True,True,False,160,2019/02/13,False
Business,Anabal,,Teese,True,False,True,161,2019/07/09,False
Data,Anabelle,,Masey,True,True,True,162,2019/04/24,True
Engineering,Anastasia,,Howsam,True,True,False,163,2019/03/05,False
Engineering,Anatole,,Burston,True,True,True,164,2019/11/12,True
Engineering,Anatole,,Peterffy,True,True,True,165,2019/01/16,True
Data,Andee,,Plowman,True,True,True,166,2019/01/30,True
Business,Andreas,,Kincey,False,True,False,167,2019/04/04,False
Engineering,Andreas,,Mehmet,True,True,True,168,2019/09/11,True
Business,Andree,,Romeo,True,True,True,169,2019/07/02,True
Data,Andrei,,Musslewhite,True,True,True,170,2019/05/16,True
Engineering,Andrew,,Giurio,True,True,True,171,2019/02/06,False
Data,Andrey,,Cochran,True,True,True,172,2019/07/24,True
Business,Andrey,,Lawlance,True,True,True,173,2019/02/05,True
Engineering,Andriana,,Dunniom,True,True,False,174,2019/09/25,False
Business,Andriana,,Uc,True,True,True,175,2019/07/02,True
Engineering,Andris,,Bradley,True,True,True,176,2019/07/12,True
Business,Andros,,Wickson,True,True,True,177,2019/02/19,True
Business,Andy,,Lown,True,True,True,178,2019/08/22,True
Data,Anestassia,,Gadman,True,True,True,179,2019/09/25,True
Business,Anet,,Satterley,True,True,True,180,2019/07/30,True
Business,Angel,,Hulson,True,True,True,181,2019/08/14,False
Business,Angel,,Matteau,True,True,True,182,2019/05/22,True
Business,Angelica,,Neissen,True,True,True,183,2019/07/31,False
