,name,psychometrics_score,presentation_score,date,location
0,Hilary Willmore,51.0,59.38,2019-08-01,Birmingham Academy
1,Orly Lorens,51.0,59.38,2019-08-01,Birmingham Academy
2,Alvie Bleackly,55.0,50.0,2019-08-01,Birmingham Academy
3,Deck Itzchaki,59.0,65.62,2019-08-01,Birmingham Academy
4,Wilt Penritt,66.0,78.12,2019-08-01,Birmingham Academy
5,Gianna Clevely,61.0,50.0,2019-08-01,Birmingham Academy
6,Yvor Phalip,59.0,56.25,2019-08-01,Birmingham Academy
7,Marielle Knivett,52.0,56.25,2019-08-01,Birmingham Academy
8,Florri Loughton,63.0,87.5,2019-08-01,Birmingham Academy
9,Walden Gidden,49.0,78.12,2019-08-01,Birmingham Academy
10,Ingunna Adin,60.0,62.5,2019-08-01,Birmingham Academy
11,Janaya Mawford,52.0,56.25,2019-08-01,Birmingham Academy
12,Cornall Offer,56.0,81.25,2019-08-01,Birmingham Academy
13,Brnaby Bownes,59.0,81.25,2019-08-01,Birmingham Academy
14,Sherline Cudihy,52.0,50.0,2019-08-01,Birmingham Academy
15,Anallise Scathard,62.0,40.62,2019-08-01,Birmingham Academy
16,Benson Labuschagne,64.0,40.62,2019-08-01,Birmingham Academy
17,Norene Fierro,58.0,68.75,2019-08-01,Birmingham Academy
18,Woody Newling,49.0,65.62,2019-08-01,Birmingham Academy
19,Anna Bownes,45.0,62.5,2019-08-01,Birmingham Academy
20,Lorine Bignall,59.0,53.12,2019-08-01,Birmingham Academy
21,Deirdre Van Den Velde,55.0,59.38,2019-08-01,Birmingham Academy
22,Ruthe Adolthine,63.0,53.12,2019-08-01,Birmingham Academy
23,Star Jurges,54.0,68.75,2019-08-01,Birmingham Academy
24,Stan Forkan,56.0,62.5,2019-08-01,Birmingham Academy
25,Jodie Kaygill,53.0,53.12,2019-08-01,Birmingham Academy
26,Tim Hush,40.0,68.75,2019-08-01,Birmingham Academy
27,Delinda Conybear,54.0,56.25,2019-08-01,Birmingham Academy
28,Reagen Pudge,60.0,43.75,2019-08-01,Birmingham Academy
29,Matteo Yeowell,57.0,56.25,2019-08-01,Birmingham Academy
30,Maye Targetter,45.0,59.38,2019-08-01,Birmingham Academy
31,Carlos Gerckens,56.0,59.38,2019-08-01,Birmingham Academy
32,Nevil Vidyapin,44.0,68.75,2019-08-01,Birmingham Academy
33,Blake Nunson,64.0,56.25,2019-08-01,Birmingham Academy
34,Ross Beevors,48.0,78.12,2019-08-01,Birmingham Academy
35,Sid Libbie,59.0,87.5,2019-08-01,Birmingham Academy
0,Loree Hinkens,54.0,50.0,2019-05-01,London Academy
1,Micheil Rotlauf,66.0,46.88,2019-05-01,London Academy
2,Berkeley Bothe,43.0,78.12,2019-05-01,London Academy
3,Klarika Mcconigal,48.0,68.75,2019-05-01,London Academy
4,Retha Dunnico,60.0,62.5,2019-05-01,London Academy
5,Nance Tothe,51.0,46.88,2019-05-01,London Academy
6,Donica Andreas,59.0,56.25,2019-05-01,London Academy
7,Stavros Petticrow,52.0,37.5,2019-05-01,London Academy
8,Janet Mulqueeny,42.0,59.38,2019-05-01,London Academy
9,Cassius Hollibone,69.0,56.25,2019-05-01,London Academy
10,Mellicent Desaur,67.0,56.25,2019-05-01,London Academy
11,Kamila Silversmidt,53.0,50.0,2019-05-01,London Academy
12,Bernadine Sinkin,60.0,53.12,2019-05-01,London Academy
13,William Dryden,63.0,71.88,2019-05-01,London Academy
14,Matthias Burns,53.0,68.75,2019-05-01,London Academy
15,Maxwell Wyer,50.0,65.62,2019-05-01,London Academy
16,Miguela Quantrill,60.0,65.62,2019-05-01,London Academy
17,Juliet Scottrell,55.0,50.0,2019-05-01,London Academy
18,Gannie Barehead,46.0,59.38,2019-05-01,London Academy
19,Siouxie Tunstall,57.0,71.88,2019-05-01,London Academy
20,Keenan Stubbes,50.0,65.62,2019-05-01,London Academy
21,Verney Skehan,58.0,46.88,2019-05-01,London Academy
22,Bernice Niblett,52.0,50.0,2019-05-01,London Academy
23,Susie Ciccoloi,65.0,65.62,2019-05-01,London Academy
24,Corney Kolinsky,50.0,71.88,2019-05-01,London Academy
25,Benson Syncke,57.0,56.25,2019-05-01,London Academy
26,Halsey Broader,67.0,81.25,2019-05-01,London Academy
0,Konstantine Giacomoni,48.0,75.0,2019-10-01,London Academy
1,Carmelle Jado,54.0,68.75,2019-10-01,London Academy
2,Eward Stanyard,48.0,62.5,2019-10-01,London Academy
3,Edgardo Lidyard,49.0,75.0,2019-10-01,London Academy
4,Claudia May,53.0,56.25,2019-10-01,London Academy
5,Ginevra Kops,52.0,65.62,2019-10-01,London Academy
6,Lambert Fortnon,57.0,68.75,2019-10-01,London Academy
7,Far Lubeck,52.0,56.25,2019-10-01,London Academy
8,Joann Aspinwall,59.0,46.88,2019-10-01,London Academy
9,Sallyann Jacobi,60.0,46.88,2019-10-01,London Academy
10,Agustin Boog,55.0,65.62,2019-10-01,London Academy
11,Fiann Parmeter,52.0,71.88,2019-10-01,London Academy
12,Linette Gilhoolie,55.0,59.38,2019-10-01,London Academy
13,Pearla Durtnell,55.0,65.62,2019-10-01,London Academy
14,Candie Senner,59.0,75.0,2019-10-01,London Academy
15,Mychal Bachelar,47.0,75.0,2019-10-01,London Academy
0,Esme Trusslove,39.0,71.88,2019-04-10,London Academy
1,Tiler Andrejevic,55.0,65.62,2019-04-10,London Academy
2,Ester Foldes,48.0,71.88,2019-04-10,London Academy
3,Mile O'Brien,50.0,75.0,2019-04-10,London Academy
4,Sheeree Collop,66.0,59.38,2019-04-10,London Academy
5,Libbie Pluck,51.0,59.38,2019-04-10,London Academy
6,Gusty Beevens,42.0,68.75,2019-04-10,London Academy
7,Lon Gillimgham,56.0,56.25,2019-04-10,London Academy
8,Hogan Bushnell,65.0,68.75,2019-04-10,London Academy
9,Tiffany Gronaller,54.0,75.0,2019-04-10,London Academy
10,Chilton Niece,62.0,68.75,2019-04-10,London Academy
11,Eda Banner,72.0,62.5,2019-04-10,London Academy
12,Donalt Savary,48.0,56.25,2019-04-10,London Academy
13,Oralle Kose,50.0,68.75,2019-04-10,London Academy
14,Vernor Farrance,55.0,68.75,2019-04-10,London Academy
15,Salvidor Cully,53.0,56.25,2019-04-10,London Academy
16,Ninette Borrel,49.0,34.38,2019-04-10,London Academy
17,Todd Kohnert,58.0,75.0,2019-04-10,London Academy
18,Gunter Marzellano,63.0,71.88,2019-04-10,London Academy
19,Enrique Garside,57.0,59.38,2019-04-10,London Academy
20,Hilda Winkett,69.0,78.12,2019-04-10,London Academy
21,Giles De Angelis,52.0,71.88,2019-04-10,London Academy
22,Kala Franzini,48.0,81.25,2019-04-10,London Academy
23,Davey Mcdowell,52.0,75.0,2019-04-10,London Academy
24,Mickey Lamport,56.0,56.25,2019-04-10,London Academy
25,Myrna Bonafant,51.0,71.88,2019-04-10,London Academy
26,Monty Hillam,47.0,34.38,2019-04-10,London Academy
27,Luke Able,51.0,68.75,2019-04-10,London Academy
28,Phillis Lyfield,55.0,71.88,2019-04-10,London Academy
0,Candy Berends,66.0,46.88,2019-12-10,London Academy
1,Adolpho Litterick,63.0,53.12,2019-12-10,London Academy
2,Rockey Courtes,53.0,65.62,2019-12-10,London Academy
3,Salmon Glenfield,52.0,65.62,2019-12-10,London Academy
4,Jena Livings,62.0,65.62,2019-12-10,London Academy
5,Kaitlyn Chagg,53.0,56.25,2019-12-10,London Academy
6,Steffane Laity,62.0,78.12,2019-12-10,London Academy
7,Harrie Chatin,69.0,68.75,2019-12-10,London Academy
8,Bambi Earthfield,60.0,62.5,2019-12-10,London Academy
9,Ulberto Stroton,59.0,68.75,2019-12-10,London Academy
10,Reinold Jenicek,51.0,62.5,2019-12-10,London Academy
11,Guido Allans,57.0,50.0,2019-12-10,London Academy
12,Orella Goshawke,55.0,53.12,2019-12-10,London Academy
13,Felita Jzhakov,59.0,68.75,2019-12-10,London Academy
14,Filide Roony,60.0,68.75,2019-12-10,London Academy
15,Charley Fredi,55.0,62.5,2019-12-10,London Academy
16,Melly Ible,52.0,65.62,2019-12-10,London Academy
17,Wallie Chittenden,57.0,68.75,2019-12-10,London Academy
18,Scotti Bromfield,50.0,65.62,2019-12-10,London Academy
19,Elisa Gowman,50.0,59.38,2019-12-10,London Academy
0,Sue Barfitt,50.0,59.38,2019-01-10,Birmingham Academy
1,Zea Barette,52.0,56.25,2019-01-10,Birmingham Academy
2,Meggie Sidsaff,52.0,56.25,2019-01-10,Birmingham Academy
3,Gui Graine,57.0,53.12,2019-01-10,Birmingham Academy
4,Carolann Bumby,50.0,50.0,2019-01-10,Birmingham Academy
5,Danya Sedgefield,57.0,81.25,2019-01-10,Birmingham Academy
6,Rolland Figgins,41.0,68.75,2019-01-10,Birmingham Academy
7,Frank Tolchard,50.0,56.25,2019-01-10,Birmingham Academy
8,Shelli Abbess,51.0,68.75,2019-01-10,Birmingham Academy
9,Ambros Ethington,56.0,71.88,2019-01-10,Birmingham Academy
10,Nikola Devericks,49.0,53.12,2019-01-10,Birmingham Academy
11,Cheston Ceillier,65.0,78.12,2019-01-10,Birmingham Academy
12,Babita Heigho,50.0,87.5,2019-01-10,Birmingham Academy
13,Vince Scott,65.0,81.25,2019-01-10,Birmingham Academy
14,Stephan Jaxon,63.0,68.75,2019-01-10,Birmingham Academy
15,Thatcher Northey,49.0,50.0,2019-01-10,Birmingham Academy
