Names,Psychometrics Score,Presentation Score,Date,Location
HILARY WILLMORE,51.0,59.38,2019-08-01,Birmingham Academy
ORLY LORENS,51.0,59.38,2019-08-01,Birmingham Academy
ALVIE BLEACKLY,55.0,50.0,2019-08-01,Birmingham Academy
DECK ITZCHAKI,59.0,65.62,2019-08-01,Birmingham Academy
WILT PENRITT,66.0,78.12,2019-08-01,Birmingham Academy
GIANNA CLEVELY,61.0,50.0,2019-08-01,Birmingham Academy
YVOR PHALIP,59.0,56.25,2019-08-01,Birmingham Academy
MARIELLE KNIVETT,52.0,56.25,2019-08-01,Birmingham Academy
FLORRI LOUGHTON,63.0,87.5,2019-08-01,Birmingham Academy
WALDEN GIDDEN,49.0,78.12,2019-08-01,Birmingham Academy
INGUNNA ADIN,60.0,62.5,2019-08-01,Birmingham Academy
JANAYA MAWFORD,52.0,56.25,2019-08-01,Birmingham Academy
CORNALL OFFER,56.0,81.25,2019-08-01,Birmingham Academy
BRNABY BOWNES,59.0,81.25,2019-08-01,Birmingham Academy
SHERLINE CUDIHY,52.0,50.0,2019-08-01,Birmingham Academy
ANALLISE SCATHARD,62.0,40.62,2019-08-01,Birmingham Academy
BENSON LABUSCHAGNE,64.0,40.62,2019-08-01,Birmingham Academy
NORENE FIERRO,58.0,68.75,2019-08-01,Birmingham Academy
WOODY NEWLING,49.0,65.62,2019-08-01,Birmingham Academy
ANNA BOWNES,45.0,62.5,2019-08-01,Birmingham Academy
LORINE BIGNALL,59.0,53.12,2019-08-01,Birmingham Academy
DEIRDRE VAN DEN VELDE,55.0,59.38,2019-08-01,Birmingham Academy
RUTHE ADOLTHINE,63.0,53.12,2019-08-01,Birmingham Academy
STAR JURGES,54.0,68.75,2019-08-01,Birmingham Academy
STAN FORKAN,56.0,62.5,2019-08-01,Birmingham Academy
JODIE KAYGILL,53.0,53.12,2019-08-01,Birmingham Academy
TIM HUSH,40.0,68.75,2019-08-01,Birmingham Academy
DELINDA CONYBEAR,54.0,56.25,2019-08-01,Birmingham Academy
REAGEN PUDGE,60.0,43.75,2019-08-01,Birmingham Academy
MATTEO YEOWELL,57.0,56.25,2019-08-01,Birmingham Academy
MAYE TARGETTER,45.0,59.38,2019-08-01,Birmingham Academy
CARLOS GERCKENS,56.0,59.38,2019-08-01,Birmingham Academy
NEVIL VIDYAPIN,44.0,68.75,2019-08-01,Birmingham Academy
BLAKE NUNSON,64.0,56.25,2019-08-01,Birmingham Academy
ROSS BEEVORS,48.0,78.12,2019-08-01,Birmingham Academy
LOREE HINKENS,54.0,50.0,2019-05-01,London Academy
MICHEIL ROTLAUF,66.0,46.88,2019-05-01,London Academy
BERKELEY BOTHE,43.0,78.12,2019-05-01,London Academy
KLARIKA MCCONIGAL,48.0,68.75,2019-05-01,London Academy
RETHA DUNNICO,60.0,62.5,2019-05-01,London Academy
NANCE TOTHE,51.0,46.88,2019-05-01,London Academy
DONICA ANDREAS,59.0,56.25,2019-05-01,London Academy
STAVROS PETTICROW,52.0,37.5,2019-05-01,London Academy
JANET MULQUEENY,42.0,59.38,2019-05-01,London Academy
CASSIUS HOLLIBONE,69.0,56.25,2019-05-01,London Academy
MELLICENT DESAUR,67.0,56.25,2019-05-01,London Academy
KAMILA SILVERSMIDT,53.0,50.0,2019-05-01,London Academy
BERNADINE SINKIN,60.0,53.12,2019-05-01,London Academy
WILLIAM DRYDEN,63.0,71.88,2019-05-01,London Academy
MATTHIAS BURNS,53.0,68.75,2019-05-01,London Academy
MAXWELL WYER,50.0,65.62,2019-05-01,London Academy
MIGUELA QUANTRILL,60.0,65.62,2019-05-01,London Academy
JULIET SCOTTRELL,55.0,50.0,2019-05-01,London Academy
GANNIE BAREHEAD,46.0,59.38,2019-05-01,London Academy
SIOUXIE TUNSTALL,57.0,71.88,2019-05-01,London Academy
KEENAN STUBBES,50.0,65.62,2019-05-01,London Academy
VERNEY SKEHAN,58.0,46.88,2019-05-01,London Academy
BERNICE NIBLETT,52.0,50.0,2019-05-01,London Academy
SUSIE CICCOLOI,65.0,65.62,2019-05-01,London Academy
CORNEY KOLINSKY,50.0,71.88,2019-05-01,London Academy
BENSON SYNCKE,57.0,56.25,2019-05-01,London Academy
KONSTANTINE GIACOMONI,48.0,75.0,2019-10-01,London Academy
CARMELLE JADO,54.0,68.75,2019-10-01,London Academy
EWARD STANYARD,48.0,62.5,2019-10-01,London Academy
EDGARDO LIDYARD,49.0,75.0,2019-10-01,London Academy
CLAUDIA MAY,53.0,56.25,2019-10-01,London Academy
GINEVRA KOPS,52.0,65.62,2019-10-01,London Academy
LAMBERT FORTNON,57.0,68.75,2019-10-01,London Academy
FAR LUBECK,52.0,56.25,2019-10-01,London Academy
JOANN ASPINWALL,59.0,46.88,2019-10-01,London Academy
SALLYANN JACOBI,60.0,46.88,2019-10-01,London Academy
AGUSTIN BOOG,55.0,65.62,2019-10-01,London Academy
FIANN PARMETER,52.0,71.88,2019-10-01,London Academy
LINETTE GILHOOLIE,55.0,59.38,2019-10-01,London Academy
PEARLA DURTNELL,55.0,65.62,2019-10-01,London Academy
CANDIE SENNER,59.0,75.0,2019-10-01,London Academy
ESME TRUSSLOVE,39.0,71.88,2019-04-10,London Academy
TILER ANDREJEVIC,55.0,65.62,2019-04-10,London Academy
ESTER FOLDES,48.0,71.88,2019-04-10,London Academy
MILE O'BRIEN,50.0,75.0,2019-04-10,London Academy
SHEEREE COLLOP,66.0,59.38,2019-04-10,London Academy
LIBBIE PLUCK,51.0,59.38,2019-04-10,London Academy
GUSTY BEEVENS,42.0,68.75,2019-04-10,London Academy
LON GILLIMGHAM,56.0,56.25,2019-04-10,London Academy
HOGAN BUSHNELL,65.0,68.75,2019-04-10,London Academy
TIFFANY GRONALLER,54.0,75.0,2019-04-10,London Academy
CHILTON NIECE,62.0,68.75,2019-04-10,London Academy
EDA BANNER,72.0,62.5,2019-04-10,London Academy
DONALT SAVARY,48.0,56.25,2019-04-10,London Academy
ORALLE KOSE,50.0,68.75,2019-04-10,London Academy
VERNOR FARRANCE,55.0,68.75,2019-04-10,London Academy
SALVIDOR CULLY,53.0,56.25,2019-04-10,London Academy
NINETTE BORREL,49.0,34.38,2019-04-10,London Academy
TODD KOHNERT,58.0,75.0,2019-04-10,London Academy
GUNTER MARZELLANO,63.0,71.88,2019-04-10,London Academy
ENRIQUE GARSIDE,57.0,59.38,2019-04-10,London Academy
HILDA WINKETT,69.0,78.12,2019-04-10,London Academy
GILES DE ANGELIS,52.0,71.88,2019-04-10,London Academy
KALA FRANZINI,48.0,81.25,2019-04-10,London Academy
DAVEY MCDOWELL,52.0,75.0,2019-04-10,London Academy
MICKEY LAMPORT,56.0,56.25,2019-04-10,London Academy
MYRNA BONAFANT,51.0,71.88,2019-04-10,London Academy
MONTY HILLAM,47.0,34.38,2019-04-10,London Academy
LUKE ABLE,51.0,68.75,2019-04-10,London Academy
CANDY BERENDS,66.0,46.88,2019-12-10,London Academy
ADOLPHO LITTERICK,63.0,53.12,2019-12-10,London Academy
ROCKEY COURTES,53.0,65.62,2019-12-10,London Academy
SALMON GLENFIELD,52.0,65.62,2019-12-10,London Academy
JENA LIVINGS,62.0,65.62,2019-12-10,London Academy
KAITLYN CHAGG,53.0,56.25,2019-12-10,London Academy
STEFFANE LAITY,62.0,78.12,2019-12-10,London Academy
HARRIE CHATIN,69.0,68.75,2019-12-10,London Academy
BAMBI EARTHFIELD,60.0,62.5,2019-12-10,London Academy
ULBERTO STROTON,59.0,68.75,2019-12-10,London Academy
REINOLD JENICEK,51.0,62.5,2019-12-10,London Academy
GUIDO ALLANS,57.0,50.0,2019-12-10,London Academy
ORELLA GOSHAWKE,55.0,53.12,2019-12-10,London Academy
FELITA JZHAKOV,59.0,68.75,2019-12-10,London Academy
FILIDE ROONY,60.0,68.75,2019-12-10,London Academy
CHARLEY FREDI,55.0,62.5,2019-12-10,London Academy
MELLY IBLE,52.0,65.62,2019-12-10,London Academy
WALLIE CHITTENDEN,57.0,68.75,2019-12-10,London Academy
SCOTTI BROMFIELD,50.0,65.62,2019-12-10,London Academy
SUE BARFITT,50.0,59.38,2019-01-10,Birmingham Academy
ZEA BARETTE,52.0,56.25,2019-01-10,Birmingham Academy
MEGGIE SIDSAFF,52.0,56.25,2019-01-10,Birmingham Academy
GUI GRAINE,57.0,53.12,2019-01-10,Birmingham Academy
CAROLANN BUMBY,50.0,50.0,2019-01-10,Birmingham Academy
DANYA SEDGEFIELD,57.0,81.25,2019-01-10,Birmingham Academy
ROLLAND FIGGINS,41.0,68.75,2019-01-10,Birmingham Academy
FRANK TOLCHARD,50.0,56.25,2019-01-10,Birmingham Academy
SHELLI ABBESS,51.0,68.75,2019-01-10,Birmingham Academy
AMBROS ETHINGTON,56.0,71.88,2019-01-10,Birmingham Academy
NIKOLA DEVERICKS,49.0,53.12,2019-01-10,Birmingham Academy
CHESTON CEILLIER,65.0,78.12,2019-01-10,Birmingham Academy
BABITA HEIGHO,50.0,87.5,2019-01-10,Birmingham Academy
VINCE SCOTT,65.0,81.25,2019-01-10,Birmingham Academy
STEPHAN JAXON,63.0,68.75,2019-01-10,Birmingham Academy
THATCHER NORTHEY,49.0,50.0,2019-01-10,Birmingham Academy
DARWIN SAMBIEDGE,55.0,68.75,2019-07-10,London Academy
GRAYCE AIM,49.0,50.0,2019-07-10,London Academy
